"Frame number","Original","Translation","Count","Part of","File count","Files"
"1","d00","","11","","2",""""", """""
"2","FEATS & SPECIAL ABILITIES","","63","","6","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""Psionics - Character Info"", ""Character Info"""
"3","LANGUAGES","","88","","12","""Character Info"", ""Barbarian - Character Info"", ""Character Info - simple"", ""Psionic Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""NPC Group"", ""Party"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"""
"4","SKILLS","","1710","","23","""Character Info"", ""Animal Companion"", ""Cavalier"", ""Inquisitor"", ""Eidolon"", ""Ronin"", ""Samurai"", ""World Walker - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""NPC Group"", ""Character Info - simple"", ""Psicrystal"", ""Psionic Character Info"", ""NPC"", ""Party"", ""Psionics - Character Info"", ""Shaman"", ""Witch Hunter"", ""Barbarian - Character Info"", ""Ranger - Character Info"""
"5","CHARACTER","","68","","10","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Character Info - simple"", ""Psionic Character Info"""
"6","ABILITIES","","1412","","22","""Character Info"", ""Animal Companion"", ""Samurai"", ""Lycanthrope"", ""World Walker - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"", ""Psicrystal"", ""NPC"", ""Psionic Character Info"", ""Shadowcaster"", ""Psionics - Character Info"", ""Panther Warrior"", ""Barbarian - Character Info"", ""Wild Shape"", ""Ranger - Character Info"", ""Cavalier"", ""Eidolon"""
"7","MALE","","1310","","18","""Character Info"", ""Animal Companion"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Character Background"", ""Psionic Character Info"", ""Character Background"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Character Background - Extra"", ""World Walker - Character Info"", ""Build Character"", ""NPC"""
"8","FEMALE","","1310","","18","""Character Info"", ""Animal Companion"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Character Background"", ""Psionic Character Info"", ""Character Background"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Character Background - Extra"", ""World Walker - Character Info"", ""Build Character"", ""NPC"""
"9","Size|Modifier","","6321","","30","""Character Info"", ""Combat"", ""Animal Companion"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Wild Shape"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Eidolon - Combat"", ""Character Info - Simple"", ""Character Info"", ""Eidolon"", ""Psionic Character Info"", ""Psionic Combat"", ""Blank Character Info"", ""Combat - Simple"", ""Combat"", ""Animal Companion"", ""Character Info - simple"", ""Combat - simple"", ""Wild Shape"", ""Psicrystal"", ""Lycanthrope"", ""World Walker - Character Info"", ""Monk - Combat (without Flurry of Blows)"", ""Build Character"", ""NPC"", ""Psionics - Character Info"", ""Panther Warrior"""
"10","Size","","1210","","15","""Character Info"", ""Barbarian - Character Info"", ""Blank Character Info"", ""Animal Companion"", ""Character Info - simple"", ""Wild Shape"", ""Psionic Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""World Walker - Character Info"", ""Build Character"", ""Kingdom"", ""Psionics - Character Info"", ""Character Info - Simple"", ""Character Info"""
