"Frame number","Original","Translation","Count","Part of","File count","Files"
"0","d00","","1","","1",""""""
"2","FEATS & SPECIAL ABILITIES","","6","","5","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""Psionics - Character Info"""
"3","LANGUAGES","","8","","7","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""NPC Group"", ""Party"", ""Psionics - Character Info"""
"4","SKILLS","","17","","16","""Character Info"", ""Animal Companion"", ""NPC Group"", ""NPC"", ""Party"", ""Psionics - Character Info"", ""Shaman"", ""Witch Hunter"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Cavalier"", ""Inquisitor"", ""Eidolon"", ""Ronin"", ""Samurai"", ""World Walker - Character Info"""
"5","CHARACTER","","6","","5","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""Psionics - Character Info"""
"6","ABILITIES","","14","","13","""Character Info"", ""Animal Companion"", ""NPC"", ""Psionics - Character Info"", ""Panther Warrior"", ""Barbarian - Character Info"", ""Wild Shape"", ""Ranger - Character Info"", ""Cavalier"", ""Eidolon"", ""Samurai"", ""Lycanthrope"", ""World Walker - Character Info"""
"7","MALE","","12","","10","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Character Background - Extra"", ""World Walker - Character Info"", ""NPC"", ""Psionics - Character Info"", ""Character Background"""
"8","FEMALE","","12","","10","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""Character Background - Extra"", ""World Walker - Character Info"", ""NPC"", ""Psionics - Character Info"", ""Character Background"""
"9","Size|Modifier","","62","","17","""Character Info"", ""Combat"", ""Eidolon"", ""Lycanthrope"", ""World Walker - Character Info"", ""Monk - Combat (without Flurry of Blows)"", ""NPC"", ""Psionics - Character Info"", ""Panther Warrior"", ""Animal Companion"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Wild Shape"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Eidolon - Combat"""
"10","Size","","10","","7","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""World Walker - Character Info"", ""Kingdom"", ""Psionics - Character Info"""
"11","Race","","9","","8","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Character Background - Extra"", ""World Walker - Character Info"", ""NPC"", ""Psionics - Character Info"", ""Character Background"""
"12","Name","","44","","43","""Character Info"", ""Paladin"", ""Ronin"", ""Samurai"", ""Character Background - Extra"", ""World Walker - Character Info"", ""Antipaladin"", ""Oath against Corruption"", ""Oath against Fiends"", ""Oath against Savagery"", ""Oath against the Wyrm"", ""Oath against Undeath"", ""Barbarian - Character Info"", ""Oath of Chastity"", ""Oath of Loyalty"", ""Oath of Vengeance"", ""Oathbound Paladin"", ""Deep Walker"", ""Falconer"", ""Horse Lord"", ""Infiltrator"", ""Shapeshifter"", ""Skirmisher"", ""Ranger - Archery"", ""Trapper"", ""Urban Ranger"", ""Party"", ""Cryptic"", ""Psionics - Character Info"", ""Psychic Warrior"", ""Wilder"", ""High Guard"", ""Imperial Man-at-arms"", ""Khalid Asad"", ""Ranger - Character Info"", ""Protectorate Artillerist"", ""Wyrdcaster"", ""Character Background"", ""Ranger - Two-weapon fighting"", ""Ranger"", ""Cavalier"", ""Witch"", ""Eidolon"""
"13","rks","","6","","5","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""World Walker - Character Info"", ""Psionics - Character Info"""
"14","hp","","39","","15","""Character Info"", ""Combat"", ""World Walker - Character Info"", ""Monk - Combat (without Flurry of Blows)"", ""Horse Lord"", ""NPC"", ""Psionics - Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Barbarian - Combat"", ""Monk - Combat"", ""Ranger - Character Info"", ""Ranger - Combat"", ""Eidolon - Combat"", ""Savage Skald"""
"16","SURVIVAL","","8","","7","""Character Info"", ""Animal Companion"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""World Walker - Character Info"", ""Psionics - Character Info"""
"17","Class|Skills","","7","Class|Skills|+3","6","""Character Info"", ""Barbarian - Character Info"", ""Ranger - Character Info"", ""Eidolon"", ""World Walker - Character Info"", ""Psionics - Character Info"""
